cell_line_name,genetic_feature,is_mutated
AU565,EP300_mut,0
AU565,FAT1_mut,0
AU565,FLT3_mut,0
AU565,FTSJD1_mut,0
AU565,GATA3_mut,0
AU565,KALRN_mut,0
AU565,KDM5C_mut,0
AU565,KDM6A_mut,0
AU565,KRAS_mut,0
AU565,LARP4B_mut,0
AU565,LPHN2_mut,0
AU565,MACF1_mut,0
AU565,MAP2K4_mut,0
AU565,MAP3K1_mut,0
AU565,MAX_mut,0
AU565,MECOM_mut,0
AU565,MED23_mut,0
AU565,MGA_mut,0
AU565,MLL_mut,0
AU565,MLL3_mut,0
AU565,MLLT4_mut,0
AU565,MYH9_mut,0
AU565,NF1_mut,0
AU565,NF2_mut,0
AU565,NSD1_mut,0
AU565,NUP98_mut,0
AU565,PIK3CA_mut,0
AU565,PIK3R1_mut,0
AU565,POLR2B_mut,0
AU565,PTEN_mut,0
AU565,SACS_mut,0
AU565,SMARCA4_mut,0
AU565,STAG2_mut,0
AU565,SVEP1_mut,0
AU565,TCF12_mut,0
AU565,TP53_mut,1
AU565,TRIO_mut,0
AU565,ZFP36L1_mut,0
BT-20,AHNAK_mut,0
BT-20,AKAP9_mut,0
BT-20,APC_mut,0
BT-20,ARFGEF2_mut,0
BT-20,ARID1A_mut,0
BT-20,ARID1B_mut,0
BT-20,ARID4B_mut,0
BT-20,ASH1L_mut,0
BT-20,ASPM_mut,0
BT-20,ASXL2_mut,0
BT-20,ATM_mut,0
BT-20,ATR_mut,0
BT-20,BAP1_mut,0
BT-20,BNC2_mut,0
BT-20,BRAF_mut,0
BT-20,BRCA1_mut,0
BT-20,BRCA2_mut,0
BT-20,CDH1_mut,0
BT-20,CHD4_mut,0
BT-20,CHEK2_mut,0
BT-20,CLSPN_mut,0
BT-20,CTCF_mut,0
BT-20,CUX1_mut,0
BT-20,DHX15_mut,0
BT-20,EIF4A2_mut,0
BT-20,EP300_mut,0
BT-20,FAT1_mut,0
BT-20,FLT3_mut,0
BT-20,FTSJD1_mut,0
BT-20,GATA3_mut,0
BT-20,KALRN_mut,0
BT-20,KDM5C_mut,0
BT-20,KDM6A_mut,0
BT-20,KRAS_mut,0
BT-20,LARP4B_mut,0
BT-20,LPHN2_mut,0
BT-20,MACF1_mut,0
BT-20,MAP2K4_mut,0
BT-20,MAP3K1_mut,0
BT-20,MAX_mut,0
BT-20,MECOM_mut,0
BT-20,MED23_mut,0
BT-20,MGA_mut,0
BT-20,MLL_mut,0
BT-20,MLL3_mut,0
BT-20,MLLT4_mut,0
BT-20,MYH9_mut,0
BT-20,NF1_mut,0
BT-20,NF2_mut,0
BT-20,NSD1_mut,0
BT-20,NUP98_mut,0
BT-20,PIK3CA_mut,1
BT-20,PIK3R1_mut,0
BT-20,POLR2B_mut,0
BT-20,PTEN_mut,0
BT-20,SACS_mut,0
BT-20,SMARCA4_mut,0
BT-20,STAG2_mut,0
BT-20,SVEP1_mut,0
BT-20,TCF12_mut,0
BT-20,TP53_mut,1
BT-20,TRIO_mut,0
BT-20,ZFP36L1_mut,0
BT-474,AHNAK_mut,0
BT-474,AKAP9_mut,0
BT-474,APC_mut,0
BT-474,ARFGEF2_mut,0
BT-474,ARID1A_mut,0
BT-474,ARID1B_mut,0
BT-474,ARID4B_mut,0
BT-474,ASH1L_mut,0
BT-474,ASPM_mut,0
BT-474,ASXL2_mut,0
BT-474,ATM_mut,0
BT-474,ATR_mut,0
BT-474,BAP1_mut,0
BT-474,BNC2_mut,0
BT-474,BRAF_mut,0
BT-474,BRCA1_mut,0
BT-474,BRCA2_mut,1
BT-474,CDH1_mut,0
BT-474,CHD4_mut,0
BT-474,CHEK2_mut,0
BT-474,CLSPN_mut,0
BT-474,CTCF_mut,0
BT-474,CUX1_mut,1
BT-474,DHX15_mut,0
BT-474,EIF4A2_mut,0
BT-474,EP300_mut,0
BT-474,FAT1_mut,0
BT-474,FLT3_mut,0
BT-474,FTSJD1_mut,0
BT-474,GATA3_mut,0
BT-474,KALRN_mut,0
BT-474,KDM5C_mut,0
BT-474,KDM6A_mut,0
BT-474,KRAS_mut,0
BT-474,LARP4B_mut,0
BT-474,LPHN2_mut,0
BT-474,MACF1_mut,0
BT-474,MAP2K4_mut,0
BT-474,MAP3K1_mut,0
BT-474,MAX_mut,0
BT-474,MECOM_mut,0
BT-474,MED23_mut,0
BT-474,MGA_mut,0
BT-474,MLL_mut,0
BT-474,MLL3_mut,0
BT-474,MLLT4_mut,0
BT-474,MYH9_mut,0
BT-474,NF1_mut,0
BT-474,NF2_mut,0
BT-474,NSD1_mut,0
BT-474,NUP98_mut,0
BT-474,PIK3CA_mut,1
BT-474,PIK3R1_mut,0
BT-474,POLR2B_mut,0
BT-474,PTEN_mut,0
BT-474,SACS_mut,0
BT-474,SMARCA4_mut,0
BT-474,STAG2_mut,0
BT-474,SVEP1_mut,0
BT-474,TCF12_mut,0
BT-474,TP53_mut,1
BT-474,TRIO_mut,0
BT-474,ZFP36L1_mut,0
BT-483,AHNAK_mut,0
BT-483,AKAP9_mut,0
BT-483,APC_mut,0
BT-483,ARFGEF2_mut,0
BT-483,ARID1A_mut,0
BT-483,ARID1B_mut,0
BT-483,ARID4B_mut,0
BT-483,ASH1L_mut,0
BT-483,ASPM_mut,0
BT-483,ASXL2_mut,0
BT-483,ATM_mut,0
BT-483,ATR_mut,0
BT-483,BAP1_mut,0
BT-483,BNC2_mut,0
BT-483,BRAF_mut,0
BT-483,BRCA1_mut,0
BT-483,BRCA2_mut,0
BT-483,CDH1_mut,0
BT-483,CHD4_mut,0
BT-483,CHEK2_mut,0
BT-483,CLSPN_mut,0
BT-483,CTCF_mut,0
BT-483,CUX1_mut,0
BT-483,DHX15_mut,0
BT-483,EIF4A2_mut,0
BT-483,EP300_mut,0
BT-483,FAT1_mut,0
BT-483,FLT3_mut,0
BT-483,FTSJD1_mut,0
BT-483,GATA3_mut,0
BT-483,KALRN_mut,0
BT-483,KDM5C_mut,0
BT-483,KDM6A_mut,0
BT-483,KRAS_mut,0
BT-483,LARP4B_mut,0
BT-483,LPHN2_mut,0
BT-483,MACF1_mut,0
BT-483,MAP2K4_mut,0
BT-483,MAP3K1_mut,0
BT-483,MAX_mut,0
BT-483,MECOM_mut,0
BT-483,MED23_mut,0
BT-483,MGA_mut,0
BT-483,MLL_mut,0
BT-483,MLL3_mut,0
BT-483,MLLT4_mut,0
BT-483,MYH9_mut,0
BT-483,NF1_mut,0
BT-483,NF2_mut,0
BT-483,NSD1_mut,0
BT-483,NUP98_mut,0
BT-483,PIK3CA_mut,1
BT-483,PIK3R1_mut,0
BT-483,POLR2B_mut,0
BT-483,PTEN_mut,0
BT-483,SACS_mut,0
BT-483,SMARCA4_mut,0
BT-483,STAG2_mut,1
BT-483,SVEP1_mut,0
BT-483,TCF12_mut,0
BT-483,TP53_mut,1
BT-483,TRIO_mut,0
BT-483,ZFP36L1_mut,0
BT-549,AHNAK_mut,0
BT-549,AKAP9_mut,0
BT-549,APC_mut,0
BT-549,ARFGEF2_mut,0
BT-549,ARID1A_mut,0
BT-549,ARID1B_mut,0
BT-549,ARID4B_mut,0
BT-549,ASH1L_mut,0
BT-549,ASPM_mut,0
BT-549,ASXL2_mut,0
BT-549,ATM_mut,0
BT-549,ATR_mut,0
BT-549,BAP1_mut,0
BT-549,BNC2_mut,0
BT-549,BRAF_mut,0
BT-549,BRCA1_mut,0
BT-549,BRCA2_mut,0
BT-549,CDH1_mut,0
BT-549,CHD4_mut,0
BT-549,CHEK2_mut,0
BT-549,CLSPN_mut,0
BT-549,CTCF_mut,0
BT-549,CUX1_mut,0
BT-549,DHX15_mut,0
BT-549,EIF4A2_mut,0
BT-549,EP300_mut,0
BT-549,FAT1_mut,0
BT-549,FLT3_mut,0
BT-549,FTSJD1_mut,0
BT-549,GATA3_mut,0
BT-549,KALRN_mut,0
BT-549,KDM5C_mut,0
BT-549,KDM6A_mut,0
BT-549,KRAS_mut,0
BT-549,LARP4B_mut,0
BT-549,LPHN2_mut,0
BT-549,MACF1_mut,1
BT-549,MAP2K4_mut,0
BT-549,MAP3K1_mut,0
BT-549,MAX_mut,0
BT-549,MECOM_mut,0
BT-549,MED23_mut,0
BT-549,MGA_mut,0
BT-549,MLL_mut,0
BT-549,MLL3_mut,0
BT-549,MLLT4_mut,0
BT-549,MYH9_mut,0
BT-549,NF1_mut,0
BT-549,NF2_mut,0
BT-549,NSD1_mut,0
BT-549,NUP98_mut,0
BT-549,PIK3CA_mut,0
BT-549,PIK3R1_mut,0
BT-549,POLR2B_mut,0
BT-549,PTEN_mut,1
BT-549,SACS_mut,0
BT-549,SMARCA4_mut,0
BT-549,STAG2_mut,0
BT-549,SVEP1_mut,0
BT-549,TCF12_mut,0
BT-549,TP53_mut,1
BT-549,TRIO_mut,0
BT-549,ZFP36L1_mut,0
CAL-120,AHNAK_mut,0
CAL-120,AKAP9_mut,0
CAL-120,APC_mut,0
CAL-120,ARFGEF2_mut,0
CAL-120,ARID1A_mut,0
CAL-120,ARID1B_mut,0
CAL-120,ARID4B_mut,0
CAL-120,ASH1L_mut,0
CAL-120,ASPM_mut,0
CAL-120,ASXL2_mut,0
CAL-120,ATM_mut,0
CAL-120,ATR_mut,0
CAL-120,BAP1_mut,0
CAL-120,BNC2_mut,0
CAL-120,BRAF_mut,0
CAL-120,BRCA1_mut,0
CAL-120,BRCA2_mut,0
CAL-120,CDH1_mut,0
CAL-120,CHD4_mut,0
CAL-120,CHEK2_mut,0
CAL-120,CLSPN_mut,0
CAL-120,CTCF_mut,0
CAL-120,CUX1_mut,0
CAL-120,DHX15_mut,0
CAL-120,EIF4A2_mut,0
CAL-120,EP300_mut,0
CAL-120,FAT1_mut,0
CAL-120,FLT3_mut,0
CAL-120,FTSJD1_mut,0
CAL-120,GATA3_mut,0
CAL-120,KALRN_mut,0
CAL-120,KDM5C_mut,0
CAL-120,KDM6A_mut,0
CAL-120,KRAS_mut,0
CAL-120,LARP4B_mut,0
CAL-120,LPHN2_mut,0
CAL-120,MACF1_mut,0
CAL-120,MAP2K4_mut,0
CAL-120,MAP3K1_mut,0
CAL-120,MAX_mut,0
CAL-120,MECOM_mut,0
CAL-120,MED23_mut,0
CAL-120,MGA_mut,0
CAL-120,MLL_mut,0
CAL-120,MLL3_mut,0
CAL-120,MLLT4_mut,0
CAL-120,MYH9_mut,0
CAL-120,NF1_mut,0
CAL-120,NF2_mut,0
CAL-120,NSD1_mut,0
CAL-120,NUP98_mut,0
CAL-120,PIK3CA_mut,0
CAL-120,PIK3R1_mut,0
CAL-120,POLR2B_mut,0
CAL-120,PTEN_mut,0
CAL-120,SACS_mut,0
CAL-120,SMARCA4_mut,0
CAL-120,STAG2_mut,0
CAL-120,SVEP1_mut,0
CAL-120,TCF12_mut,0
CAL-120,TP53_mut,1
CAL-120,TRIO_mut,0
CAL-120,ZFP36L1_mut,0
CAL-148,AHNAK_mut,0
CAL-148,AKAP9_mut,0
CAL-148,APC_mut,0
