Drug name,Drug Id,Cell line name,Cosmic sample Id,TCGA classification,Tissue,Tissue sub-type,IC50,AUC,Max conc,RMSE,Z score,Dataset version
Imatinib,34,OCUB-M,909256,BRCA,breast,breast,2.70291259726846,0.988617222048309,2,0.043788158952647,-0.036972731643298,GDSC1
Imatinib,34,UACC-812,910910,BRCA,breast,breast,1.93019279464838,0.944678633371926,2,0.142122174877403,-0.794741965551168,GDSC1
Imatinib,34,MFM-223,910948,BRCA,breast,breast,3.79562790416454,0.986354956223826,2,0.053846767315247,1.03460073933342,GDSC1
Imatinib,34,CAL-148,924106,BRCA,breast,breast,2.87937946857922,0.987293537105753,2,0.051283814222692,0.136079861845125,GDSC1
Imatinib,34,BT-474,946359,BRCA,breast,breast,3.63415868582924,0.982221959335147,2,0.042416568619322,0.87625562450296,GDSC1
Imatinib,34,HCC1500,1303900,BRCA,breast,breast,2.64344823881768,0.97201366808816,2,0.168468693221906,-0.095286574766365,GDSC1
NVP-TAE684,35,HCC1187,749711,BRCA,breast,breast,0.479191902775335,0.870525681405405,2,0.05212917553324,-0.245022392930792,GDSC1
NVP-TAE684,35,HCC1599,749713,BRCA,breast,breast,1.81789407936069,0.947660504229927,2,0.094188359125237,0.647479424785594,GDSC1
NVP-TAE684,35,HCC2157,749715,BRCA,breast,breast,0.776259551593814,0.875777311292239,2,0.074851498910728,-0.046969815447498,GDSC1
NVP-TAE684,35,HCC2218,749716,BRCA,breast,breast,2.57681652642755,0.937480469528028,2,0.110055963438049,1.15344682766279,GDSC1
NVP-TAE684,35,COLO-824,906812,BRCA,breast,breast,1.75910548670954,0.938860203521467,2,0.084077327822151,0.608285549762563,GDSC1
NVP-TAE684,35,DU-4475,906844,BRCA,breast,breast,-0.268696762868602,0.788945713170591,2,0.147467778438653,-0.743633663765709,GDSC1
NVP-TAE684,35,EVSA-T,906862,BRCA,breast,breast,2.06489739144711,0.970742199383344,2,0.022316526273141,0.812154517479777,GDSC1
NVP-TAE684,35,MRK-nu-1,908151,BRCA,breast,breast,1.87066526674268,0.941059950999889,2,0.116532087573493,0.682661544815912,GDSC1
NVP-TAE684,35,OCUB-M,909256,BRCA,breast,breast,0.245645716942465,0.853973506319438,2,0.0409842381572,-0.400725729357895,GDSC1
NVP-TAE684,35,UACC-812,910910,BRCA,breast,breast,3.01476481224655,0.977500944662604,2,0.05638355749927,1.44542337629008,GDSC1
NVP-TAE684,35,MFM-223,910948,BRCA,breast,breast,3.74187910268915,0.985727511307401,2,0.053840729673736,1.93018454069101,GDSC1
NVP-TAE684,35,CAL-148,924106,BRCA,breast,breast,2.58390739642512,0.98249818737515,2,0.04700130182206,1.15817425283077,GDSC1
NVP-TAE684,35,BT-474,946359,BRCA,breast,breast,3.44103368372446,0.979268399357908,2,0.050744026567504,1.72961335467672,GDSC1
NVP-TAE684,35,HCC1500,1303900,BRCA,breast,breast,1.7518424220295,0.940474580653771,2,0.086021906585803,0.60344332380484,GDSC1
Crizotinib,37,HCC1187,749711,BRCA,breast,breast,1.60460553323335,0.952419951818271,2,0.047033111933722,-0.785245551125949,GDSC1
Crizotinib,37,HCC1599,749713,BRCA,breast,breast,1.35970328731064,0.923511345549045,2,0.097219102929539,-1.00734362464436,GDSC1
Crizotinib,37,HCC2157,749715,BRCA,breast,breast,3.40272141328923,0.985788254511347,2,0.028433874432526,0.845438036191239,GDSC1
Crizotinib,37,HCC2218,749716,BRCA,breast,breast,3.00568399466241,0.951960384491535,2,0.104816357604075,0.485370918556192,GDSC1
Crizotinib,37,COLO-824,906812,BRCA,breast,breast,3.45095402648671,0.985553910146949,2,0.02918646623203,0.889179449960475,GDSC1
Crizotinib,37,DU-4475,906844,BRCA,breast,breast,2.36433807425944,0.983070811112943,2,0.150805436146761,-0.096255815178821,GDSC1
Crizotinib,37,EVSA-T,906862,BRCA,breast,breast,2.79523831719267,0.98670824561961,2,0.020816471904515,0.29452097608135,GDSC1
