cell_line_name,genetic_feature,is_mutated
MOLM-13,ASXL1_mut,0
MOLM-13,BCOR_mut,0
MOLM-13,CDKN2A_mut,0
MOLM-13,CREBBP_mut,0
MOLM-13,DNMT3A_mut,0
MOLM-13,EP300_mut,0
MOLM-13,EZH2_mut,0
MOLM-13,FBXW7_mut,0
MOLM-13,FLT3_mut,1
MOLM-13,KRAS_mut,0
MOLM-13,MAP3K1_mut,0
MOLM-13,NF1_mut,0
MOLM-13,NOTCH1_mut,0
MOLM-13,NPM1_mut,0
MOLM-13,NRAS_mut,0
MOLM-13,PML.RARA_mut,0
MOLM-13,PTEN_mut,0
MOLM-13,PTPN11_mut,0
MOLM-13,RUNX1.RUNX1T1_mut,0
MOLM-13,SACS_mut,0
MOLM-13,STAG2_mut,0
MOLM-13,TET2_mut,0
MOLM-13,TP53_mut,0
MOLM-13,U2AF1_mut,0
MOLM-16,ARID1A_mut,0
MOLM-16,ASXL1_mut,0
MOLM-16,BCOR_mut,0
MOLM-16,CDKN2A_mut,0
MOLM-16,CREBBP_mut,0
MOLM-16,DNMT3A_mut,0
MOLM-16,EP300_mut,0
MOLM-16,EZH2_mut,0
MOLM-16,FBXW7_mut,0
MOLM-16,FLT3_mut,0
MOLM-16,KRAS_mut,0
MOLM-16,MAP3K1_mut,0
MOLM-16,NF1_mut,0
MOLM-16,NOTCH1_mut,0
MOLM-16,NPM1_mut,0
MOLM-16,NRAS_mut,0
MOLM-16,PML.RARA_mut,0
MOLM-16,PTEN_mut,0
MOLM-16,PTPN11_mut,0
MOLM-16,RUNX1.RUNX1T1_mut,0
MOLM-16,SACS_mut,0
MOLM-16,STAG2_mut,1
MOLM-16,TET2_mut,0
MOLM-16,TP53_mut,1
MOLM-16,U2AF1_mut,0
MONO-MAC-6,ARID1A_mut,0
MONO-MAC-6,ASXL1_mut,1
MONO-MAC-6,BCOR_mut,0
MONO-MAC-6,CDKN2A_mut,0
MONO-MAC-6,CREBBP_mut,0
MONO-MAC-6,DNMT3A_mut,0
MONO-MAC-6,EP300_mut,0
MONO-MAC-6,EZH2_mut,0
MONO-MAC-6,FBXW7_mut,0
MONO-MAC-6,FLT3_mut,0
MONO-MAC-6,KRAS_mut,0
MONO-MAC-6,MAP3K1_mut,0
MONO-MAC-6,NF1_mut,0
MONO-MAC-6,NOTCH1_mut,0
MONO-MAC-6,NPM1_mut,0
MONO-MAC-6,NRAS_mut,0
MONO-MAC-6,PML.RARA_mut,0
MONO-MAC-6,PTEN_mut,0
MONO-MAC-6,PTPN11_mut,0
MONO-MAC-6,RUNX1.RUNX1T1_mut,0
MONO-MAC-6,SACS_mut,0
MONO-MAC-6,STAG2_mut,0
MONO-MAC-6,TET2_mut,0
MONO-MAC-6,TP53_mut,1
MONO-MAC-6,U2AF1_mut,1
NB4,ARID1A_mut,0
NB4,ASXL1_mut,0
NB4,BCOR_mut,0
NB4,CDKN2A_mut,0
NB4,CREBBP_mut,0
NB4,DNMT3A_mut,0
NB4,EP300_mut,0
NB4,EZH2_mut,0
NB4,FBXW7_mut,0
NB4,FLT3_mut,0
NB4,KRAS_mut,0
NB4,MAP3K1_mut,0
NB4,NF1_mut,0
NB4,NOTCH1_mut,0
NB4,NPM1_mut,0
NB4,NRAS_mut,0
NB4,PML.RARA_mut,1
NB4,PTEN_mut,0
NB4,PTPN11_mut,0
NB4,RUNX1.RUNX1T1_mut,0
NB4,SACS_mut,0
NB4,STAG2_mut,0
NB4,TET2_mut,0
NB4,TP53_mut,1
NB4,U2AF1_mut,0
NKM-1,ARID1A_mut,0
NKM-1,ASXL1_mut,0
NKM-1,BCOR_mut,0
NKM-1,CDKN2A_mut,0
NKM-1,CREBBP_mut,0
NKM-1,DNMT3A_mut,0
NKM-1,EP300_mut,0
NKM-1,EZH2_mut,0
NKM-1,FBXW7_mut,0
NKM-1,FLT3_mut,0
NKM-1,KRAS_mut,0
NKM-1,MAP3K1_mut,0
NKM-1,NF1_mut,0
NKM-1,NOTCH1_mut,0
NKM-1,NPM1_mut,0
NKM-1,NRAS_mut,0
NKM-1,PML.RARA_mut,0
NKM-1,PTEN_mut,0
NKM-1,PTPN11_mut,0
NKM-1,RUNX1.RUNX1T1_mut,0
NKM-1,SACS_mut,0
NKM-1,STAG2_mut,0
NKM-1,TET2_mut,0
NKM-1,TP53_mut,0
NKM-1,U2AF1_mut,1
NOMO-1,ARID1A_mut,0
